编号	大洲	战役	行省	城镇	开局派系	首府	世界X	世界Y	六边形X	六边形Y	区域KEY	行省KEY	派系KEY	英文名	分组KEY	大洲来源
428	哀恸山脉	超凡帝国	孬不拉国度	孬不拉山峡	崔彻锐克氏族		716.13	336.32	1072	436	wh3_main_combi_region_gnobbly_gorge	wh3_main_combi_province_gnoblar_country	wh3_main_skv_clan_treecherik	Gnobbly Gorge	cai_region_hint_area_mountains_of_mourn	官方
429	哀恸山脉	超凡帝国	孬不拉国度	蹒跚镇	崔彻锐克氏族		703.44	355.99	1053	461	wh3_main_combi_region_mount_thug	wh3_main_combi_province_gnoblar_country	wh3_main_skv_clan_treecherik	Shambletown	cai_region_hint_area_mountains_of_mourn	官方
430	哀恸山脉	超凡帝国	岩天矮丘	花岗岩群峰	扎尔战团		718.80	542.28	1076	703	wh3_main_combi_region_granite_spikes	wh3_main_combi_province_stonesky_foothills	wh3_dlc23_chd_zhatan	Granite Spikes	cai_region_hint_area_mountains_of_mourn	官方
431	哀恸山脉	超凡帝国	白骨之路	泰坦谷	白虎之爪		708.12	431.97	1060	560	wh3_main_combi_region_vale_of_titans	wh3_main_combi_province_bone_road	wh3_cp1_cth_tiger_warriors	Vale of Titans	cai_region_hint_area_mountains_of_mourn	官方
432	哀恸山脉	超凡帝国	白骨之路	浴血峰	嗜血狂	是	696.76	463.21	1043	600	wh3_main_combi_region_bloodpeak	wh3_main_combi_province_bone_road	wh3_main_ogr_blood_guzzlers	Bloodpeak	cai_region_hint_area_mountains_of_mourn	官方
433	哀恸山脉	超凡帝国	白骨之路	火口	嗜血狂		672.71	460.13	1007	596	wh3_main_combi_region_fire_mouth	wh3_main_combi_province_bone_road	wh3_main_ogr_blood_guzzlers	Fire Mouth	cai_region_hint_area_mountains_of_mourn	官方
434	哀恸山脉	超凡帝国	远古巨人之地	泰坦台阶	吞山者		699.43	490.21	1047	635	wh3_main_combi_region_titans_notch	wh3_main_combi_province_ancient_giant_lands	wh3_main_ogr_mountaineaters	Titan's Notch	cai_region_hint_area_mountains_of_mourn	官方
435	哀恸山脉	超凡帝国	远古巨人之地	耶提峰	吞山者	是	715.46	477.87	1071	619	wh3_main_combi_region_yhetee_peak	wh3_main_combi_province_ancient_giant_lands	wh3_main_ogr_mountaineaters	Yhetee Peak	cai_region_hint_area_mountains_of_mourn	官方
436	哀恸山脉	超凡帝国	迦什·卡德拉克	卡拉克·凄凉堡	佛戈	是	674.71	506.02	1010	656	wh3_main_combi_region_karak_vrag	wh3_main_combi_province_gash_kadrak	wh3_main_ogr_fulg	Karak Vrag	cai_region_hint_area_mountains_of_mourn	官方
437	哀恸山脉	超凡帝国	迦什·卡德拉克	噬人狂之岩	佛戈		666.03	523.38	997	678	wh3_main_combi_region_gorger_rock	wh3_main_combi_province_gash_kadrak	wh3_main_ogr_fulg	Gorger Rock	cai_region_hint_area_mountains_of_mourn	官方
438	哀恸山脉	超凡帝国	迦什·卡德拉克	鹰巢	格里姆格的狠小子		642.65	512.97	962	665	wh3_main_combi_region_eagle_eyries	wh3_main_combi_province_gash_kadrak	wh_main_grn_greenskins	Eagle Eyries	cai_region_hint_area_mountains_of_mourn	官方
439	哀恸山脉	超凡帝国	迦什·卡德拉克	黑牙镇	佛戈		652.00	492.91	976	639	wh3_main_combi_region_black_fang	wh3_main_combi_province_gash_kadrak	wh3_main_ogr_fulg	Black Fang	cai_region_hint_area_mountains_of_mourn	官方
440	哀恸山脉	超凡帝国	长牙之路	不屈峰	叉棒		701.44	377.20	1050	489	wh3_main_combi_region_grimtop	wh3_main_combi_province_ivory_road	wh3_main_ogr_crossed_clubs	Grimtop	cai_region_hint_area_mountains_of_mourn	官方
441	哀恸山脉	超凡帝国	长牙之路	卡拉克·徒劳矿	金牙		670.04	379.13	1003	491	wh3_main_combi_region_karak_krakaten	wh3_main_combi_province_ivory_road	wh3_main_ogr_goldtooth	Karak Krakaten	cai_region_hint_area_mountains_of_mourn	官方
442	哀恸山脉	超凡帝国	长牙之路	大胃之门	叉棒		711.46	396.87	1065	514	wh3_main_combi_region_the_maw_gate	wh3_main_combi_province_ivory_road	wh3_main_ogr_crossed_clubs	The Maw Gate	cai_region_hint_area_mountains_of_mourn	官方
443	哀恸山脉	超凡帝国	长牙之路	格雷苏巨厅	金牙	是	688.07	388.00	1030	503	wh3_main_combi_region_great_hall_of_greasus	wh3_main_combi_province_ivory_road	wh3_main_ogr_goldtooth	Great Hall of Greasus	cai_region_hint_area_mountains_of_mourn	官方
444	哀恸山脉	超凡帝国	闹鬼森林	闹鬼森林	蓝玫瑰车队	是	712.12	322.44	1066	418	wh3_main_combi_region_the_haunted_forest	wh3_main_combi_province_the_haunted_forest	wh3_main_vmp_caravan_of_blue_roses	The Haunted Forest	cai_region_hint_area_mountains_of_mourn	官方
445	黑暗之地	超凡帝国	呼啸荒原	前哨站	黑暗之地兽人		632.63	393.79	947	510	wh3_main_combi_region_the_sentinels	wh3_main_combi_province_the_howling_wastes	wh3_main_grn_dark_land_orcs	The Sentinels	cai_region_hint_area_darklands	官方
446	黑暗之地	超凡帝国	呼啸荒原	黑堡	黑暗之地兽人		600.56	369.10	899	478	wh3_main_combi_region_darkhold	wh3_main_combi_province_the_howling_wastes	wh3_main_grn_dark_land_orcs	Darkhold	cai_region_hint_area_darklands	官方
447	黑暗之地	超凡帝国	呼啸荒原	黑色要塞	阿佐格军团	是	634.63	369.49	950	479	wh3_main_combi_region_black_fortress	wh3_main_combi_province_the_howling_wastes	wh3_dlc23_chd_legion_of_azgorh	Black Fortress	cai_region_hint_area_darklands	官方
448	黑暗之地	超凡帝国	奔行荒原	灰魔女山	月嚎部落		587.20	397.65	879	515	wh3_main_combi_region_mount_grey_hag	wh3_main_combi_province_the_desolation_of_azgorh	wh3_main_grn_moon_howlerz	Mount Grey Hag	cai_region_hint_area_darklands	官方
449	黑暗之地	超凡帝国	奔行荒原	银矛山	月嚎部落		555.14	417.70	831	541	wh3_main_combi_region_mount_silverspear	wh3_main_combi_province_the_desolation_of_azgorh	wh3_main_grn_moon_howlerz	Mount Silverspear	cai_region_hint_area_darklands	官方
450	黑暗之地	超凡帝国	奔行荒原	驼背山	咧嘴氏族	是	563.82	401.12	844	520	wh3_main_combi_region_crookback_mountain	wh3_main_combi_province_the_desolation_of_azgorh	wh2_dlc09_skv_clan_rictus	Crookback Mountain	cai_region_hint_area_darklands	官方
451	黑暗之地	超凡帝国	孬不拉国度	剥皮岩	崔彻锐克氏族	是	662.69	363.32	992	471	wh3_main_combi_region_flayed_rock	wh3_main_combi_province_gnoblar_country	wh3_main_skv_clan_treecherik	Flayed Rock	cai_region_hint_area_darklands	官方
452	黑暗之地	超凡帝国	孬不拉国度	废料塔	崔彻锐克氏族		677.39	346.35	1014	449	wh3_main_combi_region_skrap_towers	wh3_main_combi_province_gnoblar_country	wh3_main_skv_clan_treecherik	Skrap Towers	cai_region_hint_area_darklands	官方
453	黑暗之地	超凡帝国	巨龙群岛	恐惧岩	泰波克之种	是	649.33	307.78	972	399	wh3_main_combi_region_dread_rock	wh3_main_combi_province_the_dragon_isles	wh3_main_lzd_tepoks_spawn	Dread Rock	cai_region_hint_area_darklands	官方
454	黑暗之地	超凡帝国	巨龙群岛	碎石岛	泰波克之种		667.37	296.60	999	384	wh3_main_combi_region_shattered_stone_isle	wh3_main_combi_province_the_dragon_isles	wh3_main_lzd_tepoks_spawn	Shattered Stone Isle	cai_region_hint_area_darklands	官方
455	黑暗之地	超凡帝国	巨龙群岛	碎石湾	泰波克之种		667.37	322.05	999	417	wh3_main_combi_region_shattered_cove	wh3_main_combi_province_the_dragon_isles	wh3_main_lzd_tepoks_spawn	Shattered Stone Bay	cai_region_hint_area_darklands	官方
456	黑暗之地	超凡帝国	巨龙群岛	龙牙山	纳垢驭疹官		647.99	269.98	970	350	wh3_main_combi_region_dragon_fang_mount	wh3_main_combi_province_the_dragon_isles	wh3_main_nur_poxmakers_of_nurgle	Dragon Fang Mount	cai_region_hint_area_darklands	官方
457	黑暗之地	超凡帝国	扎尔平原	哀痛谷	秘会侍仆		629.96	463.98	943	601	wh3_dlc23_combi_region_gash_kadrak	wh3_main_combi_province_the_plain_of_zharr	wh3_dlc23_chd_conclave	Vale of Woe	cai_region_hint_area_darklands	官方
458	黑暗之地	超凡帝国	扎尔平原	扎尔·纳格隆德	秘会侍仆	是	629.96	484.81	943	628	wh3_main_combi_region_zharr_naggrund	wh3_main_combi_province_the_plain_of_zharr	wh3_dlc23_chd_conclave	Zharr-Naggrund	cai_region_hint_area_darklands	官方
459	黑暗之地	超凡帝国	扎尔平原	灾厄瀑布	秘会侍仆		607.91	502.94	910	652	wh3_main_combi_region_the_falls_of_doom	wh3_main_combi_province_the_plain_of_zharr	wh3_dlc23_chd_conclave	The Falls of Doom	cai_region_hint_area_darklands	官方
460	黑暗之地	超凡帝国	断牙	悲苦湾			590.54	311.64	884	404	wh3_main_combi_region_bitter_bay	wh3_main_combi_province_broken_teeth		Bitter Bay	cai_region_hint_area_darklands	官方
461	黑暗之地	超凡帝国	断牙	纳迦什扎	腐肉氏族	是	566.49	312.41	848	405	wh3_main_combi_region_nagashizzar	wh3_main_combi_province_broken_teeth	wh3_main_skv_clan_carrion	Nagashizzar	cai_region_hint_area_darklands	官方
462	黑暗之地	超凡帝国	断牙	纳迦什荒原			547.12	317.42	819	411	wh3_main_combi_region_desolation_of_nagash	wh3_main_combi_province_broken_teeth		Desolation of Nagash	cai_region_hint_area_darklands	官方
463	黑暗之地	超凡帝国	滚烫三角洲	墟涯	雷肠		632.63	329.76	947	427	wh3_main_combi_region_ruins_end	wh3_main_combi_province_mouth_of_ruin	wh3_main_ogr_thunderguts	Ruin's End	cai_region_hint_area_darklands	官方
464	黑暗之地	超凡帝国	滚烫三角洲	猪倌镇	雷肠	是	648.66	353.68	971	458	wh3_main_combi_region_pigbarter	wh3_main_combi_province_mouth_of_ruin	wh3_main_ogr_thunderguts	Pigbarter	cai_region_hint_area_darklands	官方
465	黑暗之地	超凡帝国	狼野	奔兽之塔	扎尔杜克霸主	是	603.90	406.52	904	527	wh3_main_combi_region_tower_of_gorgoth	wh3_main_combi_province_the_wolf_lands	wh3_dlc23_chd_minor_faction	Tower of Gorgoth	cai_region_hint_area_darklands	官方
466	黑暗之地	超凡帝国	狼野	恶魔桩	扎尔杜克霸主		647.32	421.56	969	546	wh3_main_combi_region_the_daemons_stump	wh3_main_combi_province_the_wolf_lands	wh3_dlc23_chd_minor_faction	The Daemon's Stump	cai_region_hint_area_darklands	官方
467	黑暗之地	超凡帝国	狼野	扎尔之门	扎尔杜克霸主		611.92	435.06	916	564	wh3_main_combi_region_the_gates_of_zharr	wh3_main_combi_province_the_wolf_lands	wh3_dlc23_chd_minor_faction	The Gates of Zharr	cai_region_hint_area_darklands	官方
468	黑暗之地	超凡帝国	诅咒荒原	呼啸岩	血牙部落		580.52	457.04	869	592	wh3_main_combi_region_howling_rock	wh3_main_combi_province_the_blasted_wastes	wh3_main_grn_drippin_fangs	Howling Rock	cai_region_hint_area_darklands	官方
469	黑暗之地	超凡帝国	诅咒荒原	焦荒外域	血牙部落		573.17	489.05	858	634	wh3_dlc23_combi_region_blasted_expanse	wh3_main_combi_province_the_blasted_wastes	wh3_main_grn_drippin_fangs	The Blasted Expanse	cai_region_hint_area_darklands	官方
470	黑暗之地	超凡帝国	诅咒荒原	白银尖顶	莱弥亚姐妹会	是	550.46	509.11	824	660	wh3_main_combi_region_silver_pinnacle	wh3_main_combi_province_the_blasted_wastes	wh3_main_vmp_lahmian_sisterhood	Silver Pinnacle	cai_region_hint_area_darklands	官方
471	黑暗之地	超凡帝国	诅咒荒原	邓肯穆尔荒原	血牙部落		556.47	471.70	833	611	wh3_main_combi_region_desolation_of_drakenmoor	wh3_main_combi_province_the_blasted_wastes	wh3_main_grn_drippin_fangs	Desolation of Drakenmoor	cai_region_hint_area_darklands	官方
472	黑暗之地	超凡帝国	骸骨平原	沃拉格要塞	卡勒多骑士	是	593.88	338.25	889	438	wh3_main_combi_region_the_fortress_of_vorag	wh3_main_combi_province_the_plain_of_bones	wh2_dlc15_hef_imrik	The Fortress of Vorag	cai_region_hint_area_darklands	官方
473	黑暗之地	超凡帝国	骸骨平原	灰烬脊	赫尔海因氏族		575.84	354.06	862	459	wh3_main_combi_region_ash_ridge_mountains	wh3_main_combi_province_the_plain_of_bones	wh2_dlc15_dwf_clan_helhein	Ash Ridge Mountains	cai_region_hint_area_darklands	官方
474	黑暗之地	超凡帝国	骸骨平原	骸骨峡谷	赫尔海因氏族		561.82	326.68	841	423	wh3_main_combi_region_the_bone_gulch	wh3_main_combi_province_the_plain_of_bones	wh2_dlc15_dwf_clan_helhein	The Bone Gulch	cai_region_hint_area_darklands	官方
475	黑暗之地	超凡帝国	骸骨高原	乌兹库拉克	哈苏特信徒	是	570.50	557.71	854	723	wh3_main_combi_region_uzkulak	wh3_main_combi_province_zorn_uzkul	wh3_dlc23_chd_astragoth	Uzkulak	cai_region_hint_area_darklands	官方
476	黑暗之地	超凡帝国	骸骨高原	巨颅湖	扎尔之奴		569.83	534.18	853	692	wh3_main_combi_region_great_skull_lakes	wh3_main_combi_province_zorn_uzkul	wh3_main_grn_slaves_of_zharr	Great Skull Lakes	cai_region_hint_area_darklands	官方
477	黑暗之地	超凡帝国	骸骨高原	德兹内沃特要塞	扎尔之奴		591.21	534.18	885	692	wh3_dlc23_combi_region_fort_dorznye_vort	wh3_main_combi_province_zorn_uzkul	wh3_main_grn_slaves_of_zharr	Fort Dorznye-vort	cai_region_hint_area_darklands	官方
478	混沌荒原	超凡帝国	冷泽	亲王宫殿	隐秘之刑		269.89	688.84	404	893	wh3_main_combi_region_palace_of_princes	wh3_main_combi_province_the_cold_mires	wh3_main_sla_subtle_torture	Palace of Princes	cai_region_hint_area_chaos_wastes	官方
479	混沌荒原	超凡帝国	冷泽	恶臭墓穴	隐秘之刑		294.60	691.54	441	896	wh3_main_combi_region_the_fetid_catacombs	wh3_main_combi_province_the_cold_mires	wh3_main_sla_subtle_torture	The Foetid Catacombs	cai_region_hint_area_chaos_wastes	官方
480	混沌荒原	超凡帝国	冷泽	扭曲群塔	隐秘之刑	是	324.00	724.71	485	939	wh3_main_combi_region_the_twisted_towers	wh3_main_combi_province_the_cold_mires	wh3_main_sla_subtle_torture	The Twisted Towers	cai_region_hint_area_chaos_wastes	官方
481	混沌荒原	超凡帝国	冷泽	马雷菲克斯之厅	隐秘之刑		313.98	700.41	470	908	wh3_main_combi_region_the_folly_of_malofex	wh3_main_combi_province_the_cold_mires	wh3_main_sla_subtle_torture	The Folly of Malofex	cai_region_hint_area_chaos_wastes	官方
482	混沌荒原	超凡帝国	北部荒原	术士银塔	绯红骷髅	是	251.85	723.17	377	937	wh3_main_combi_region_the_silvered_tower_of_sorcerers	wh3_main_combi_province_northern_wastes	wh3_main_kho_crimson_skull	The Silvered Tower of Sorcerers	cai_region_hint_area_chaos_wastes	官方
483	混沌荒原	超凡帝国	北部荒原	浴血山	绯红骷髅		280.57	711.98	420	923	wh3_main_combi_region_blood_mountain	wh3_main_combi_province_northern_wastes	wh3_main_kho_crimson_skull	Blood Mountain	cai_region_hint_area_chaos_wastes	官方
484	混沌荒原	超凡帝国	北部荒原	炼狱	绯红骷髅		287.25	729.72	430	946	wh3_main_combi_region_infernius	wh3_main_combi_province_northern_wastes	wh3_main_kho_crimson_skull	Infernius	cai_region_hint_area_chaos_wastes	官方
485	混沌荒原	超凡帝国	卡达莎	绞架树	纳吉		651.33	632.14	975	819	wh3_main_combi_region_the_gallows_tree	wh3_main_combi_province_kdatha	wh3_dlc27_the_narj	The Gallows Tree	cai_region_hint_area_chaos_wastes	官方
486	混沌荒原	超凡帝国	卡达莎	赞拜津	蛆虫军团	是	669.37	646.42	1002	838	wh3_main_combi_region_zanbaijin	wh3_main_combi_province_kdatha	wh3_dlc25_nur_tamurkhan	Zanbaijin	cai_region_hint_area_chaos_wastes	官方
487	混沌荒原	超凡帝国	奇美拉高地	决斗岩	贪肉者	是	682.06	560.41	1021	726	wh3_main_combi_region_the_challenge_stone	wh3_main_combi_province_chimera_plateau	wh3_main_ogr_fleshgreeders	The Challenge Stone	cai_region_hint_area_chaos_wastes	官方
488	混沌荒原	超凡帝国	奇美拉高地	浮空山	纳吉		684.73	609.77	1025	790	wh3_main_combi_region_floating_mountain	wh3_main_combi_province_chimera_plateau	wh3_dlc27_the_narj	Floating Mountain	cai_region_hint_area_chaos_wastes	官方
489	混沌荒原	超凡帝国	奇美拉高地	龙眠地	纳吉		691.41	583.55	1035	756	wh3_dlc20_combi_region_dragons_death	wh3_main_combi_province_chimera_plateau	wh3_dlc27_the_narj	Dragon's Death	cai_region_hint_area_chaos_wastes	官方
490	混沌荒原	超凡帝国	幻象平原	水晶尖塔	全视之眼	是	500.36	714.68	749	926	wh3_main_combi_region_the_crystal_spires	wh3_main_combi_province_plain_of_illusions	wh3_main_tze_all_seeing_eye	The Crystal Spires	cai_region_hint_area_chaos_wastes	官方
491	混沌荒原	超凡帝国	幻象平原	火山之心	全视之眼		465.62	726.25	697	941	wh3_main_combi_region_volcanos_heart	wh3_main_combi_province_plain_of_illusions	wh3_main_tze_all_seeing_eye	Volcano's Heart	cai_region_hint_area_chaos_wastes	官方
492	混沌荒原	超凡帝国	幻象平原	秘之港	全视之眼		479.65	694.24	718	900	wh3_main_combi_region_port_of_secrets	wh3_main_combi_province_plain_of_illusions	wh3_main_tze_all_seeing_eye	Port of Secrets	cai_region_hint_area_chaos_wastes	官方
493	混沌荒原	超凡帝国	恶臭肿瘤	呕胆崖	瘟疫计患官		406.16	711.21	608	922	wh3_main_combi_region_bilious_cliffs	wh3_main_combi_province_the_noisome_tumour	wh3_dlc25_nur_epidemius	Bilious Cliffs	cai_region_hint_area_chaos_wastes	官方
494	混沌荒原	超凡帝国	恶臭肿瘤	蝇塔	全视之眼		456.93	710.44	684	921	wh3_main_combi_region_the_tower_of_flies	wh3_main_combi_province_the_noisome_tumour	wh3_main_tze_all_seeing_eye	The Tower of Flies	cai_region_hint_area_chaos_wastes	官方
495	混沌荒原	超凡帝国	恶臭肿瘤	衰败森林	瘟疫计患官	是	427.54	724.32	640	939	wh3_main_combi_region_the_forest_of_decay	wh3_main_combi_province_the_noisome_tumour	wh3_dlc25_nur_epidemius	The Forest of Decay	cai_region_hint_area_chaos_wastes	官方
496	混沌荒原	超凡帝国	永恒环礁	枯萎林	零落命轮		374.10	735.12	560	953	wh3_main_combi_region_the_blighted_grove	wh3_main_combi_province_the_eternal_lagoon	wh3_main_tze_broken_wheel	The Blighted Grove	cai_region_hint_area_chaos_wastes	官方
497	混沌荒原	超凡帝国	永恒环礁	猛兽崖	零落命轮		352.05	720.08	527	933	wh3_main_combi_region_cliff_of_beasts	wh3_main_combi_province_the_eternal_lagoon	wh3_main_tze_broken_wheel	Cliff of Beasts	cai_region_hint_area_chaos_wastes	官方
498	混沌荒原	超凡帝国	永恒环礁	黑岩	零落命轮	是	389.46	723.94	583	938	wh3_main_combi_region_black_rock	wh3_main_combi_province_the_eternal_lagoon	wh3_main_tze_broken_wheel	Black Rock	cai_region_hint_area_chaos_wastes	官方
499	混沌荒原	超凡帝国	血沼	幻变要塞	精美之痛	是	611.25	684.60	915	887	wh3_main_combi_region_the_writhing_fortress	wh3_main_combi_province_the_blood_marshes	wh3_main_sla_exquisite_pain	The Writhing Fortress	cai_region_hint_area_chaos_wastes	官方
500	混沌荒原	超凡帝国	血沼	流血尖顶	库尔		616.59	646.03	923	837	wh3_main_combi_region_the_bleeding_spire	wh3_main_combi_province_the_blood_marshes	wh3_dlc20_nor_kul	The Bleeding Spire	cai_region_hint_area_chaos_wastes	官方
501	混沌荒原	超凡帝国	血沼	疫病英雄纪念柱	精美之痛		569.83	654.51	853	848	wh3_main_combi_region_monolith_of_bubonicus	wh3_main_combi_province_the_blood_marshes	wh3_main_sla_exquisite_pain	Monolith of Bubonicus	cai_region_hint_area_chaos_wastes	官方
502	混沌荒原	超凡帝国	血火瀑布	呼啸城堡	浴血长剑	是	527.75	704.27	790	913	wh3_main_combi_region_the_howling_citadel	wh3_main_combi_province_bloodfire_falls	wh3_main_kho_bloody_sword	The Howling Citadel	cai_region_hint_area_chaos_wastes	官方
503	混沌荒原	超凡帝国	血火瀑布	折磨之塔	浴血长剑		507.71	661.84	760	858	wh3_main_combi_region_the_tower_of_torment	wh3_main_combi_province_bloodfire_falls	wh3_main_kho_bloody_sword	The Tower of Torment	cai_region_hint_area_chaos_wastes	官方
504	混沌荒原	超凡帝国	血火瀑布	烂肺英雄纪念柱	浴血长剑		547.79	669.56	820	868	wh3_main_combi_region_monolith_of_festerlung	wh3_main_combi_province_bloodfire_falls	wh3_main_kho_bloody_sword	Monolith of Festerlung	cai_region_hint_area_chaos_wastes	官方
505	混沌荒原	超凡帝国	血火瀑布	燃烧之碑	浴血长剑		566.49	691.16	848	896	wh3_main_combi_region_the_burning_monolith	wh3_main_combi_province_bloodfire_falls	wh3_main_kho_bloody_sword	The Burning Monolith	cai_region_hint_area_chaos_wastes	官方
506	混沌荒原	超凡帝国	骨骸之路	卡拉克·厄运堡	受恩者	是	592.55	589.72	887	764	wh3_main_combi_region_karak_dum	wh3_main_combi_province_the_skull_road	wh3_main_ogr_lazarghs	Karak Dum	cai_region_hint_area_chaos_wastes	官方
507	混沌荒原	超凡帝国	骨骸之路	头骨立柱	受恩者		585.20	618.65	876	802	wh3_main_combi_region_pillar_of_skulls	wh3_main_combi_province_the_skull_road	wh3_main_ogr_lazarghs	Pillar of Skulls	cai_region_hint_area_chaos_wastes	官方
508	混沌荒原	超凡帝国	骨骸之路	番灭地	受恩者		565.82	603.60	847	782	wh3_main_combi_region_tribeslaughter	wh3_main_combi_province_the_skull_road	wh3_main_ogr_lazarghs	Tribeslaughter	cai_region_hint_area_chaos_wastes	官方
509	混沌荒原	超凡帝国	骨骸之路	风骸山	恐虐挑战者		540.44	639.09	809	828	wh3_main_combi_region_stormvrack_mount	wh3_main_combi_province_the_skull_road	wh3_dlc26_kho_arbaal	Stormvrack Mount	cai_region_hint_area_chaos_wastes	官方
510	震旦	超凡帝国	东部草原	血风堡	卡扎格	是	831.03	554.62	1244	719	wh3_main_combi_region_bloodwind_keep	wh3_main_combi_province_eastern_steppes	wh3_main_chs_khazag	Bloodwind Keep	cai_region_hint_area_cathay	官方
511	震旦	超凡帝国	东部草原	铁风暴	卡扎格		800.30	547.68	1198	710	wh3_main_combi_region_iron_storm	wh3_main_combi_province_eastern_steppes	wh3_main_chs_khazag	Iron Storm	cai_region_hint_area_cathay	官方
512	震旦	超凡帝国	东部草原	龙馗路	帝国戍卫		815.67	528.01	1221	684	wh3_main_combi_region_dragons_crossroad	wh3_main_combi_province_eastern_steppes	wh3_main_cth_imperial_wardens	Dragon's Crossroad	cai_region_hint_area_cathay	官方
513	震旦	超凡帝国	京畿路	修验官城	天廷忠卫		865.10	474.01	1295	614	wh3_main_combi_region_city_of_the_shugengan	wh3_main_combi_province_imperial_road	wh3_main_cth_celestial_loyalists	City of the Shugengan	cai_region_hint_area_cathay	官方
514	震旦	超凡帝国	京畿路	巍京	天廷忠卫	是	852.41	500.62	1276	649	wh3_main_combi_region_wei_jin	wh3_main_combi_province_imperial_road	wh3_main_cth_celestial_loyalists	Wei-Jin	cai_region_hint_area_cathay	官方
515	震旦	超凡帝国	京畿路	明珠	天廷忠卫		829.70	472.08	1242	612	wh3_main_combi_region_ming_zhu	wh3_main_combi_province_imperial_road	wh3_main_cth_celestial_loyalists	Ming Zhu	cai_region_hint_area_cathay	官方
516	震旦	超凡帝国	农昌盆地	农昌	玉石护军	是	849.07	380.68	1271	493	wh3_main_combi_region_nonchang	wh3_main_combi_province_nongchang_basin	wh3_main_cth_the_jade_custodians	Nongchang	cai_region_hint_area_cathay	官方
517	震旦	超凡帝国	农昌盆地	诗阎摩陵寝	玉石护军		847.73	355.22	1269	460	wh3_main_combi_region_shiyamas_rest	wh3_main_combi_province_nongchang_basin	wh3_main_cth_the_jade_custodians	Shiyama's Rest	cai_region_hint_area_cathay	官方
518	震旦	超凡帝国	大运河	崴璃庄	燃风牧民		846.40	295.82	1267	383	wh3_main_combi_region_waili_village	wh3_main_combi_province_the_great_canal	wh3_main_cth_burning_wind_nomads	Wai-Li Village	cai_region_hint_area_cathay	官方
519	震旦	超凡帝国	大运河	竹林渡	燃风牧民	是	843.06	332.46	1262	431	wh3_main_combi_region_bamboo_crossing	wh3_main_combi_province_the_great_canal	wh3_main_cth_burning_wind_nomads	Bamboo Crossing	cai_region_hint_area_cathay	官方
520	震旦	超凡帝国	天廷河原	上吴	玉廷	是	777.59	369.49	1164	479	wh3_main_combi_region_shang_wu	wh3_main_combi_province_celestial_riverlands	wh3_dlc24_cth_the_celestial_court	Shang-Wu	cai_region_hint_area_cathay	官方
521	震旦	超凡帝国	天廷河原	氏隆	僵尸叛军		827.69	355.22	1239	460	wh3_main_combi_region_shi_long	wh3_main_combi_province_celestial_riverlands	wh3_dlc21_vmp_jiangshi_rebels	Shi Long	cai_region_hint_area_cathay	官方
522	震旦	超凡帝国	天廷河原	灾恶山丘	僵尸叛军		794.96	388.00	1190	503	wh3_main_combi_region_baleful_hills	wh3_main_combi_province_celestial_riverlands	wh3_dlc21_vmp_jiangshi_rebels	Baleful Hills	cai_region_hint_area_cathay	官方
523	震旦	超凡帝国	天廷河原	通天桥	僵尸叛军		822.35	383.76	1231	497	wh3_main_combi_region_bridge_of_heaven	wh3_main_combi_province_celestial_riverlands	wh3_dlc21_vmp_jiangshi_rebels	Bridge of Heaven	cai_region_hint_area_cathay	官方
524	震旦	超凡帝国	天湖	昊天殿	玉石护军		824.35	411.14	1234	533	wh3_main_combi_region_celestial_monastery	wh3_main_combi_province_celestial_lake	wh3_main_cth_the_jade_custodians	Celestial Monastery	cai_region_hint_area_cathay	官方
525	震旦	超凡帝国	天湖	瞻世	玉石护军	是	851.74	400.73	1275	519	wh3_main_combi_region_zhanshi	wh3_main_combi_province_celestial_lake	wh3_main_cth_the_jade_custodians	Zhanshi	cai_region_hint_area_cathay	官方
526	震旦	超凡帝国	天离裂土	伏鸿	燃风牧民	是	821.68	290.04	1230	376	wh3_main_combi_region_fu_hung	wh3_main_combi_province_broken_lands_of_tian_li	wh3_main_cth_burning_wind_nomads	Fu Hung	cai_region_hint_area_cathay	官方
527	震旦	超凡帝国	天离裂土	精风寺	燃风牧民		772.25	340.18	1156	441	wh3_main_combi_region_temple_of_elemental_winds	wh3_main_combi_province_broken_lands_of_tian_li	wh3_main_cth_burning_wind_nomads	Temple of Elemental Winds	cai_region_hint_area_cathay	官方
528	震旦	超凡帝国	天离裂土	虎士庄	燃风牧民		794.29	319.74	1189	414	wh3_main_combi_region_village_of_the_tigermen	wh3_main_combi_province_broken_lands_of_tian_li	wh3_main_cth_burning_wind_nomads	Village of the Tigermen	cai_region_hint_area_cathay	官方
529	震旦	超凡帝国	奸之林	奸之林	山林精魂	是	870.45	298.14	1303	386	wh3_main_combi_region_jungles_of_chian	wh3_main_combi_province_jungles_of_chian	wh3_dlc21_wef_spirits_of_shanlin	Jungles of Chi'an	cai_region_hint_area_cathay	官方
530	震旦	超凡帝国	山脉尽头	破碎山地	阿瓦格		824.35	572.36	1234	742	wh3_main_combi_region_broken_mount	wh3_main_combi_province_mountains_end	wh3_dlc27_nor_avags	Broken Mount	cai_region_hint_area_cathay	官方
531	震旦	超凡帝国	山脉尽头	腐朽岩	阿瓦格		777.59	565.42	1164	733	wh3_main_combi_region_rotten_stone	wh3_main_combi_province_mountains_end	wh3_dlc27_nor_avags	Rotten Stone	cai_region_hint_area_cathay	官方
